TestID,Step,TestLinkID,DUT,CMD,ResponseVerification,Postaction,Verdict,Failed action,PreCondition,Comments
0,1,RDL-3000-0,SC,load script 192.168.20.14 SC_SS_3_0_default,,,PASS,,,
1,1,RDL-3000-0,SC,save config,,,PASS,,,
2,1,RDL-3000-0,SS,load script 192.168.20.14 SS_SS_3_0_default,,,PASS,,,
3,1,RDL-3000-0,SS,save config,,,PASS,,,
4,1,RDL-3000-0,ALL,get swver,swver        = ,,PASS,,,
5,1,RDL-3000-550,ALL,user add tester11 admin,,,PASS,NEXT,,
6,2,RDL-3000-550,ALL,admin,The new user password,,PASS,NEXT,,
7,3,RDL-3000-550,ALL,testing123,,,PASS,NEXT,,
8,4,RDL-3000-550,ALL,testing12,Invalid New Password: Confirmation password does not match the initial New password!,,PASS,,,
9,1,RDL-3000-551,ALL,user add tester11 admin,,,PASS,NEXT,,
10,2,RDL-3000-551,ALL,admin,The new user password,,PASS,NEXT,,
11,3,RDL-3000-551,ALL,testing123,,,PASS,NEXT,,
12,4,RDL-3000-551,ALL,testing123,,,PASS,,,
13,1,RDL-3000-552,ALL,user add tester11 admin,,,PASS,NEXT,,
14,2,RDL-3000-552,ALL,admin,The new user password,,PASS,NEXT,,
15,3,RDL-3000-552,ALL,testing123,,,PASS,NEXT,,
16,4,RDL-3000-552,ALL,testing123,User already defined,,PASS,,,
17,1,RDL-3000-553,ALL,user add tester12 admin,,,PASS,NEXT,,
18,2,RDL-3000-553,ALL,admin,The new user password,,PASS,NEXT,,
19,3,RDL-3000-553,ALL,testing123,,,PASS,NEXT,,
20,4,RDL-3000-553,ALL,testing123,,,PASS,,,
21,1,RDL-3000-555,ALL,user add tester14 admin,No more users allowed,,PASS,,,
22,1,RDL-3000-556,ALL,user print, tester11             10,,PASS,,,
23,1,RDL-3000-557,ALL,user attr tester11,"Auth =  none, Priv =  none", Priv =  none,PASS,,,
24,1,RDL-3000-558,ALL,user attr tester11 md5 none,Auth =   MD5, Priv =  none,PASS,,,
25,1,RDL-3000-559,ALL,user attr tester11 md5 des,Auth =   MD5, Priv =   DES,PASS,,,
26,1,RDL-3000-560,ALL,user attr tester12  md  none,Bad authentication type!!!,,PASS,,,
27,1,RDL-3000-561,ALL,user attr tester12 md5 des1,Bad privacy type!!!,,PASS,,,
28,1,RDL-3000-562,ALL,user attr tester12  md5,Wrong number of parameters!,,PASS,,,
29,1,RDL-3000-563,ALL,user chgpasswd tester11,,,PASS,NEXT,,
30,2,RDL-3000-563,ALL,admin,The new user password,,PASS,NEXT,,
31,3,RDL-3000-563,ALL,testing1234,,,PASS,NEXT,,
32,4,RDL-3000-563,ALL,testing1234,,,PASS,,,
33,1,RDL-3000-564,ALL,user del tester11,,,PASS,,,
34,1,RDL-3000-565,ALL,user del tester12,,,PASS,,,
35,1,RDL-3000-566,ALL,user del tester13,User is not defined!,,PASS,,,
36,1,RDL-3000-567,ALL,user del tester14,User is not defined!,,PASS,,,
37,1,RDL-3000-568,ALL,user del admin,You cannot delete yourself!,,PASS,,,
38,1,RDL-3000-569,ALL,user test,Error: Bad command,,PASS,,,
39,1,RDL-3000-570,ALL,user add tester15 user,,,PASS,NEXT,,
40,2,RDL-3000-570,ALL,user,The new user password,,PASS,NEXT,,
41,3,RDL-3000-570,ALL,testing1234,,,PASS,NEXT,,
42,4,RDL-3000-570,ALL,testing1234,Invalid Password,,PASS,,,
43,1,RDL-3000-571,ALL,user add tester16 user,,,PASS,NEXT,,
44,2,RDL-3000-571,ALL,admin,The new user password,,PASS,NEXT,,
45,3,RDL-3000-571,ALL,testing1234,,,PASS,NEXT,,
46,4,RDL-3000-571,ALL,testing1234,,,PASS,,,
47,1,RDL-3000-572,ALL,user print, tester16             0,,PASS,,,
48,1,RDL-3000-573,ALL,user attr tester16,Auth =  none, Priv =  none,PASS,,,
49,1,RDL-3000-574,ALL,user attr tester16 md5 des,Auth =   MD5, Priv =  none,PASS,NEXT,,
50,2,RDL-3000-574,ALL,user attr tester16,Auth =   MD5, Priv =  none,PASS,,,
51,1,RDL-3000-575,ALL,user attr tester16 sha des,Auth =   SHA, Priv =   DES,PASS,NEXT,,
52,2,RDL-3000-575,ALL,user attr tester16,Auth =   SHA, Priv =   DES,PASS,,,
53,1,RDL-3000-576,ALL,user attr tester16 md5 aes,Auth =   MD5, Priv =   AES,PASS,NEXT,,
54,2,RDL-3000-576,ALL,user attr tester16,Auth =   MD5, Priv =   AES,PASS,,,
55,1,RDL-3000-577,ALL,user attr tester16 sha aes,Auth =   SHA, Priv =   AES,PASS,NEXT,,
56,2,RDL-3000-577,ALL,user attr tester16,Auth =   SHA, Priv =   AES,PASS,,,
57,1,RDL-3000-578,ALL,user attr tester16 none none,Auth =  none, Priv =  none,PASS,NEXT,,
58,2,RDL-3000-578,ALL,user attr tester16,Auth =  none, Priv =  none,PASS,,,
59,1,RDL-3000-579,ALL,user del tester16,,,PASS,,,
60,1,RDL-3000-580,ALL,user add test,Error: Missing parameter,,PASS,,,
61,1,RDL-3000-581,ALL,user add test some,Syntax: add,,PASS,,,
