TestID,Step,TestLinkID,DUT,CMD,ResponseVerification,Postaction,Verdict,Failed action,PreCondition,Comments
0,1,RDL-3000-0,SC,load script 192.168.20.14 R4_SC_default,,,PASS,,,
0,1,RDL-3000-0,SC,save config,,,PASS,,,
0,1,RDL-3000-0,ALL,get swver,swver        = ,,PASS,,,
550,1,RDL-3000-550,ALL,user add tester11 admin,,,PASS,NEXT,,
550,2,RDL-3000-550,ALL,admin,The new user password,,PASS,NEXT,,
550,3,RDL-3000-550,ALL,testing123,,,PASS,NEXT,,
550,4,RDL-3000-550,ALL,testing12,Invalid New Password: Confirmation password does not match the initial New password!,,PASS,,,
551,1,RDL-3000-551,ALL,user add tester11 admin,,,PASS,NEXT,,
551,2,RDL-3000-551,ALL,admin,The new user password,,PASS,NEXT,,
551,3,RDL-3000-551,ALL,testing123,,,PASS,NEXT,,
551,4,RDL-3000-551,ALL,testing123,,,PASS,,,
552,1,RDL-3000-552,ALL,user add tester11 admin,,,PASS,NEXT,,
552,2,RDL-3000-552,ALL,admin,The new user password,,PASS,NEXT,,
552,3,RDL-3000-552,ALL,testing123,,,PASS,NEXT,,
552,4,RDL-3000-552,ALL,testing123,User already defined,,PASS,,,
553,1,RDL-3000-553,ALL,user add tester12 admin,,,PASS,NEXT,,
553,2,RDL-3000-553,ALL,admin,The new user password,,PASS,NEXT,,
553,3,RDL-3000-553,ALL,testing123,,,PASS,NEXT,,
553,4,RDL-3000-553,ALL,testing123,,,PASS,,,
554,1,RDL-3000-554,ALL,user add tester13 admin,,,PASS,NEXT,,
554,2,RDL-3000-554,ALL,admin,The new user password,,PASS,NEXT,,
554,3,RDL-3000-554,ALL,testing123,,,PASS,NEXT,,
554,4,RDL-3000-554,ALL,testing123,,,PASS,,,
555,1,RDL-3000-555,ALL,user add tester14 admin,No more users allowed,,PASS,,,
556,1,RDL-3000-556,ALL,user print, tester11             10,,PASS,,,
557,1,RDL-3000-557,ALL,user attr tester11,"Auth =  none, Priv =  none", Priv =  none,PASS,,,
558,1,RDL-3000-558,ALL,user attr tester11 md5 none,Auth =   MD5, Priv =  none,PASS,,,
559,1,RDL-3000-559,ALL,user attr tester11 md5 des,Auth =   MD5, Priv =   DES,PASS,,,
560,1,RDL-3000-560,ALL,user attr tester12  md  none,Bad authentication type!!!,,PASS,,,
561,1,RDL-3000-561,ALL,user attr tester12 md5 des1,Bad privacy type!!!,,PASS,,,
562,1,RDL-3000-562,ALL,user attr tester12  md5,Wrong number of parameters!,,PASS,,,
563,1,RDL-3000-563,ALL,user chgpasswd tester11,,,PASS,NEXT,,
563,2,RDL-3000-563,ALL,admin,The new user password,,PASS,NEXT,,
563,3,RDL-3000-563,ALL,testing1234,,,PASS,NEXT,,
563,4,RDL-3000-563,ALL,testing1234,,,PASS,,,
564,1,RDL-3000-564,ALL,user del tester11,,,PASS,,,
565,1,RDL-3000-565,ALL,user del tester12,,,PASS,,,
566,1,RDL-3000-566,ALL,user del tester13,,,PASS,,,
567,1,RDL-3000-567,ALL,user del tester14,User is not defined!,,PASS,,,
568,1,RDL-3000-568,ALL,user del admin,You cannot delete yourself!,,PASS,,,
569,1,RDL-3000-569,ALL,user test,Error: Bad command,,PASS,,,
570,1,RDL-3000-570,ALL,user add tester15 user,,,PASS,NEXT,,
570,2,RDL-3000-570,ALL,user,The new user password,,PASS,NEXT,,
570,3,RDL-3000-570,ALL,testing1234,,,PASS,NEXT,,
570,4,RDL-3000-570,ALL,testing1234,Invalid Password,,PASS,,,
571,1,RDL-3000-571,ALL,user add tester16 user,,,PASS,NEXT,,
571,2,RDL-3000-571,ALL,admin,The new user password,,PASS,NEXT,,
571,3,RDL-3000-571,ALL,testing1234,,,PASS,NEXT,,
571,4,RDL-3000-571,ALL,testing1234,,,PASS,,,
572,1,RDL-3000-572,ALL,user print, tester16             0,,PASS,,,
573,1,RDL-3000-573,ALL,user attr tester16,Auth =  none, Priv =  none,PASS,,,
574,1,RDL-3000-574,ALL,user attr tester16 md5 des,Auth =   MD5, Priv =  none,PASS,NEXT,,
574,2,RDL-3000-574,ALL,user attr tester16,Auth =   MD5, Priv =  none,PASS,,,
575,1,RDL-3000-575,ALL,user attr tester16 sha des,Auth =   SHA, Priv =   DES,PASS,NEXT,,
575,2,RDL-3000-575,ALL,user attr tester16,Auth =   SHA, Priv =   DES,PASS,,,
576,1,RDL-3000-576,ALL,user attr tester16 md5 aes,Auth =   MD5, Priv =   AES,PASS,NEXT,,
576,2,RDL-3000-576,ALL,user attr tester16,Auth =   MD5, Priv =   AES,PASS,,,
577,1,RDL-3000-577,ALL,user attr tester16 sha aes,Auth =   SHA, Priv =   AES,PASS,NEXT,,
577,2,RDL-3000-577,ALL,user attr tester16,Auth =   SHA, Priv =   AES,PASS,,,
578,1,RDL-3000-578,ALL,user attr tester16 none none,Auth =  none, Priv =  none,PASS,NEXT,,
578,2,RDL-3000-578,ALL,user attr tester16,Auth =  none, Priv =  none,PASS,,,
579,1,RDL-3000-579,ALL,user del tester16,,,PASS,,,
580,1,RDL-3000-580,ALL,user add test,Error: Missing parameter,,PASS,,,
581,1,RDL-3000-581,ALL,user add test some,Syntax: add,,PASS,,,
